customer_id,customer_zip_code_prefix,customer_city,Customer_Name,customer_state
0027MnmEcEx0,8460,manaus,Joseph Rodriguez,AM
006Qnh6UbZWp,30662,santos,Megan Campbell,SP
00DP5EaE4Ro1,44560,sao paulo,Joshua Rodriguez,SP
00IHcNfTDJjS,2567,americana,Jessica Thompson,SP
00ciinAcviuC,5847,brasilia,Emma Campbell,DF
00h7DNDgf3CN,12286,morro agudo,Daniel Perez,SP
00hSuZGND8dw,36407,nova hartz,Jessica Lewis,RS
00jirH0psObG,1426,sao paulo,Robert Harris,SP
00lsRlwaL7ZK,98010,porto alegre,Sophia Turner,RS
00tYQp707NL6,3413,sao jose dos pinhais,Tomasz Martinez,PR
00yN2LZB3MT8,70735,lages,Nicole Jackson,SC
01OLyo9H14Fp,99250,monte azul paulista,Benjamin Martin,SP
01bAWEGsGkHI,45180,eunapolis,David Young,BA
01dr4XyAvCEz,11711,pirapora,Daniel Roberts,MG
01gdKwuHDWX7,61920,salto do jacui,Fatima Green,RS
01jIO78l2WC7,89031,nova serrana,Olivia White,MG
01p724aqrjih,3820,sao paulo,Chris Rodriguez,SP
01tQ4KSerDsz,64390,santa luzia,Daniel Green,MG
01tZYuVHw6IY,13565,jacinto machado,Sarah Wright,SC
01y4af4wZPtP,7998,vitoria da conquista,Robert Harris,BA
01yExsOVxdY9,96835,campo grande,Chris Smith,MS
020oLyG4XBg4,4605,sumare,Andrew Walker,SP
0267mF10y7Ve,96225,corguinho,Aisha Walker,MS
026VhSrZcYX5,38447,rio de janeiro,Joshua Turner,RJ
0279FxWqpjIZ,12960,santa isabel,Rachel Robinson,SP
0291FEKoyVzp,2670,curitiba,Nicole Rodriguez,PR
02HNz0AIrf6u,98740,osasco,Chris Jackson,SP
02QGqvFCc1dE,91349,braganca paulista,Emma Martin,SP
02RJ0Nh01VLL,60341,rondonopolis,John Phillips,MT
02hBYTjbfquI,73813,porto alegre,Tomasz Adams,RS
02orXmlH1ZCJ,75836,praia grande,Laura Anderson,SP
02sc5WBaORsP,3624,niteroi,Laura Thompson,RJ
035LEM5W8fyA,48310,osasco,Sophia Parker,SP
03C7riFu9BIP,25956,sao carlos,Sarah Jackson,SP
03I9VIhuBg1q,66025,rio de janeiro,Ava Anderson,RJ
03OTkXzKXYzx,81560,sao goncalo,Robert Green,RJ
03QkePWXcAMb,5141,valparaiso de goias,Robert Hill,GO
03RxFpPS5zwW,41280,santo andre,Robert Walker,SP
03ibekviYlUT,88395,rio das pedras,David Martin,SP
03jCTcGCfGEC,91150,santo andre,Noah Lewis,SP
044ahIwOdTsD,68555,sao paulo,John Rodriguez,SP
044dCgMml1Vj,60360,salto de pirapora,Hannah Mitchell,SP
044jfooq03X2,9351,divino das laranjeiras,William Allen,MG
047Nz1fFKuDt,53070,rio de janeiro,Amanda Johnson,RJ
04CNSGj01lGd,3941,sao paulo,Ashley Phillips,SP
04GEHbLVDuym,95775,bauru,Joshua Nelson,SP
04GkjFKaTznp,2280,sao paulo,Sarah Martin,SP
04NmIzDvQqsw,1308,capelinha,Ava Nelson,MG
04ToBIcjcNSO,8820,salvador,Chris White,BA
04UnQ8zcklJF,6172,venancio aires,Benjamin Lewis,RS
04W8M1bvx4YQ,36404,guaxupe,James King,MG
04WN9oihfOnf,25071,aracruz,Ashley Anderson,ES
04YUlo2YAUB3,94085,sao paulo,Emily Harris,SP
04abp9tF4nGh,72016,sao jose dos campos,Ava Martinez,SP
04asny7812UD,8735,colombo,Chen Johnson,PR
04qqhJYsKmn9,70648,sao paulo,David Mitchell,SP
04t8gIsZqxP0,64764,cariacica,Chen Roberts,ES
051lAvyeNztb,5436,miguel pereira,Mia Lewis,RJ
056ZiaCjF3iM,65077,sao luis,Chris White,MA
05DbQQwL8ZGH,18900,rio de janeiro,Noah Roberts,RJ
